"","Airline","FareVar","FareSD","CorFareDifnDays"
"374","UK",2669451.75001228,1633.84569345219,-0.353146847693664
"375","9W",571162.494786966,755.752932370736,-0.598543524424964
"376","9W",235527.740350877,485.312003097881,-0.0476978702309937
"377","AI",43440813.8294228,6590.964559867,-0.580560020570637
"378","AI",485422.261512336,696.722513998462,-0.777894201451057
"379","AI",7946203.35897436,2818.90109066891,-0.631813953323454
"380","9W",22620.9004329004,150.402461525403,-0.12205087568924
"381","9W",7742.45644807654,87.99122938155,0.0884253841455345
"382","9W",121585.379790941,348.690951690664,-0.248379287874497
"383","9W",12378.8579413135,111.260316111871,0.13894547757616
"384","9W",13219.8769230769,114.977723594951,-0.661425279806821
"385","9W",4327948.72514122,2080.37225638615,-0.11398366470661
"386","AI",39362361.9028859,6273.94309050424,-0.546083031951541
"387","9W",1060238.8821425,1029.67901898723,-0.383888260592745
"388","9W",210861.569321534,459.196656479045,-0.247934306100768
"389","9W",1075656.01430456,1037.13837760665,-0.1770546189336
"390","9W",727348.658899402,852.847383122797,0.2943503764258
"391","AI",3536477.07636364,1880.55233279046,-0.122002957538627
"392","AI",4017226.52183133,2004.30200364898,0.0705016992590472
"393","AI",2354728.65773642,1534.51251468876,-0.0731755917697809
"394","AI",120680.236491228,347.390610827679,-0.218248587175273
"395","UK",530700.571428571,728.491984464188,0.0609533123087603
"396","9W",1632823.94393531,1277.81999668784,-0.670756423793004
"397","9W",1216963.34122955,1103.16061442999,-0.432612649294072
"398","9W",363269.255315441,602.718222153139,-0.308119644450075
"399","AI",10192886.5721163,3192.63003996959,-0.402863176131591
"400","AI",5614627.3221449,2369.52048358838,-0.337773966017554
"401","9W",1643330.58823529,1281.92456417501,-0.434990791915153
"402","9W",237542.354605165,487.383170211247,-0.171866708196924
