"","Arr","Dep","Airline","Curr_Time","FlightNo"
"626","LKO","DEL","9W","M",644
"627","LKO","DEL","9W","E",2637
"628","NAG","BOM","9W","M",7171
"629","VTZ","BOM","9W","M",979
"630","AMD","BOM","AI","M",331
"631","AMD","BOM","AI","E",144
"632","BOM","AMD","AI","M",131
"633","BOM","AMD","AI","M",614
"634","BOM","AMD","AI","E",191
"635","BOM","GOI","AI","M",684
"636","BOM","GOI","AI","E",662
"637","BOM","GOI","AI","E",84
"638","BOM","IDR","AI","E",636
"639","BOM","NAG","AI","M",628
"640","BOM","NAG","AI","E",630
"641","DEL","LKO","AI","M",412
"642","DEL","LKO","AI","E",812
"643","GOI","BOM","AI","M",83
"644","GOI","BOM","AI","E",661
"645","GOI","BOM","AI","E",683
"646","IDR","BOM","AI","M",635
"647","LKO","DEL","AI","M",411
"648","LKO","DEL","AI","M",992
"649","LKO","DEL","AI","E",811
"650","NAG","BOM","AI","M",627
"651","NAG","BOM","AI","E",629
"652","VTZ","BOM","AI","M",651
"653","BOM","BLR","9W","M",7001
"654","BOM","BLR","AI","M",604
"655","DEL","BOM","9W","M",9914
"656","DEL","BOM","AI","M",866
"657","MAA","BOM","9W","E",461
"658","BOM","CCU","9W","M",626
"659","BLR","DEL","9W","M",7128
"660","BOM","DEL","AI","E",102
"661","BOM","DEL","AI","E",624
"662","BOM","DEL","AI","E",317
"663","PNQ","DEL","9W","E",363
"664","BOM","HYD","AI","M",966
"665","BOM","MAA","9W","E",462
"666","BOM","AMD","9W","M",328
"667","AMD","BOM","AI","M",130
"668","BOM","BDQ","9W","E",344
"669","BOM","BLR","9W","M",412
"670","BOM","BLR","AI","E",610
"671","DEL","BLR","9W","M",7006
"672","MAA","BLR","9W","M",2308
"673","MAA","BLR","9W","E",2312
"674","CCU","BOM","9W","M",629
"675","CCU","BOM","9W","M",619
"676","DEL","BOM","9W","M",333
"677","DEL","BOM","9W","M",390
"678","DEL","BOM","AI","E",310
"679","DEL","BOM","AI","E",314
"680","BLR","DEL","9W","E",7007
"681","BOM","DEL","9W","E",373
"682","BOM","DEL","AI","E",602
"683","BLR","BOM","9W","M",397
"684","BLR","BOM","9W","E",7206
"685","DEL","BOM","AI","E",658
"686","BOM","DEL","AI","M",665
"687","MAA","DEL","9W","E",739
"688","MAA","DEL","AI","M",429
"689","BLR","MAA","9W","M",2311
"690","BLR","MAA","9W","E",2303
"691","BLR","MAA","9W","E",2737
"692","BOM","AMD","9W","M",7208
"693","GOI","BOM","9W","M",479
"694","DEL","BLR","9W","M",824
"695","CCU","BOM","9W","M",615
"696","BOM","AMD","9W","E",324
"697","DEL","BOM","9W","M",331
"698","BLR","DEL","AI","E",174
"699","CCU","DEL","9W","M",903
"700","DEL","PNQ","9W","E",372
"701","BLR","BOM","9W","E",477
"702","DEL","HYD","AI","E",840
"703","MAA","BLR","9W","E",2736
"704","DEL","BOM","9W","M",337
"705","BOM","DEL","9W","M",336
"706","BOM","DEL","AI","M",657
"707","HYD","DEL","9W","E",643
"708","DEL","BOM","AI","E",888
"709","DEL","BOM","9W","M",346
"710","DEL","BOM","9W","E",309
"711","BOM","BDQ","9W","E",7344
"712","BDQ","BOM","9W","E",7343
"713","BLR","BOM","9W","E",483
"714","DEL","BOM","9W","M",301
"715","HYD","BOM","9W","M",453
"716","BOM","HYD","9W","M",349
"717","BOM","MAA","9W","M",464
"718","AMD","BOM","9W","M",329
"719","BOM","AMD","9W","M",738
"720","BOM","IDR","9W","E",2386
"721","IDR","BOM","9W","E",2385
"722","MAA","BOM","9W","M",463
"723","BOM","CCU","9W","E",616
"724","BOM","BLR","9W","E",448
"725","BOM","DEL","9W","E",9919
"726","AMD","BOM","9W","M",327
"727","BDQ","BOM","9W","M",349
"728","BOM","DEL","9W","E",312
"729","MAA","BLR","9W","M",2302
"730","BOM","DEL","AI","E",805
"731","DEL","BLR","9W","E",812
